COSTA Samuel, 14, 1
YACHI Sora, 13, 1
BUZZI Raffaele, 12, 1
GREIDERER Lukas, 11, 1
KIMURA Kodai, 10, 1
YAMAMOTO Yuya, 9, 1
GERARD Antoine, 8, 1
FLATLA Kasper Moen, 7, 1
KOSTNER Aaron, 6, 1
NIITTYKOSKI Otto, 5, 1
KARHUMAA Wille, 4, 1
MACH Simon, 3, 1
BRECL Gasper, 2, 1
FRANK Christian, 1, 1
RIESSLE Fabian, 0, 1
SIEGEMUND Nick, 0, 1
THANNHEIMER Wendelin, 0, 1
SCHUMANN Stephen, 0, 1
KOLB Florian, 0, 1
RAKPAROV Chingiz, 0, 1
ANDREWS Grant, 0, 1
MACH David, 100, 1
RIIBER Jarl Magnus, 90, 1
GRAABAK Joergen, 80, 1
SCHMID Julian, 70, 1
ANDERSEN Espen, 60, 1
LAMPARTER Johannes, 55, 1
RETTENEGGER Stefan, 52, 1
RETTENEGGER Thomas, 49, 1
GEIGER Vinzenz, 46, 1
OFTEBRO Jens Luraas, 43, 1
BJOERNSTAD Espen, 40, 1
ILVES Kristjan, 38, 1
HEROLA Ilkka, 36, 1
FAISST Manuel, 34, 1
RYDZEK Johannes, 32, 1
REPONEN Perttu, 30, 1
LOOMIS Benjamin, 28, 1
TILLER Simen, 26, 1
YAMAMOTO Ryota, 24, 1
REHRL Franz-Josef, 22, 1
WEBER Terence, 20, 1
FRITZ Martin, 19, 1
MALACINSKI Niklas, 18, 1
HIRVONEN Eero, 17, 1
TYRODE Mael, 16, 1
BAUD Matteo, 15, 1
WATABE Akito, 14, 1
YACHI Sora, 13, 1
GREIDERER Lukas, 12, 1
COSTA Samuel, 11, 1
PAZOUT Ondrej, 10, 1
HEINIS Marco, 9, 1
KIMURA Kodai, 8, 1
NIITTYKOSKI Otto, 7, 1
SKOGLUND Aleksander, 6, 1
THANNHEIMER Wendelin, 5, 1
MAEKIAHO Arttu, 4, 1
KOSTNER Aaron, 3, 1
VRHOVNIK Vid, 2, 1
BUZZI Raffaele, 1, 1
BLONDEAU Gael, 0, 1
BRECL Gasper, 0, 1
YAMAMOTO Yuya, 0, 1
SCHUMANN Stephen, 0, 1
MARIOTTI Domenico, 0, 1
RAKPAROV Chingiz, 0, 1
MUELLER Pascal, 0, 1
ANDREWS Grant, 0, 1
RIIBER Jarl Magnus, 100, 1
MACH David, 90, 1
LAMPARTER Johannes, 80, 1
BJOERNSTAD Espen, 70, 1
RETTENEGGER Stefan, 60, 1
GRAABAK Joergen, 55, 1
OFTEBRO Jens Luraas, 52, 1
REHRL Franz-Josef, 49, 1
ILVES Kristjan, 46, 1
SCHMID Julian, 43, 1
YAMAMOTO Ryota, 40, 1
FRITZ Martin, 38, 1
RETTENEGGER Thomas, 36, 1
HEROLA Ilkka, 34, 1
TILLER Simen, 32, 1
WATABE Akito, 30, 1
GEIGER Vinzenz, 28, 1
FAISST Manuel, 26, 1
RYDZEK Johannes, 24, 1
ANDERSEN Espen, 22, 1
HIRVONEN Eero, 20, 1
WEBER Terence, 19, 1
REPONEN Perttu, 18, 1
BAUD Matteo, 17, 1
GREIDERER Lukas, 16, 1
MALACINSKI Niklas, 15, 1
HEINIS Marco, 14, 1
LOOMIS Benjamin, 13, 1
MAEKIAHO Arttu, 12, 1
KIMURA Kodai, 11, 1
VRHOVNIK Vid, 10, 1
KOSTNER Aaron, 9, 1
GERARD Antoine, 8, 1
BUZZI Raffaele, 7, 1
TYRODE Mael, 6, 1
COSTA Samuel, 5, 1
FLATLA Kasper Moen, 4, 1
THANNHEIMER Wendelin, 3, 1
OBERMEYR Fabio, 2, 1
YAMAMOTO Yuya, 1, 1
NIITTYKOSKI Otto, 0, 1
SOMMERFELDT Tristan, 0, 1
BLONDEAU Gael, 0, 1
SOLVIK Marius, 0, 1
KVAMME Jens Dahlseide, 0, 1
SCHUMANN Stephen, 0, 1
WALCHER Paul, 0, 1
BRECL Gasper, 0, 1
ANDREWS Grant, 0, 1
KONVALINKA Jiri, 0, 1
BERGET STORSVEEN Joergen, 0, 1
RETTENEGGER Stefan, 100, 1
MACH David, 90, 1
LAMPARTER Johannes, 80, 1
WATABE Akito, 70, 1
GRAABAK Joergen, 60, 1
GEIGER Vinzenz, 55, 1
OFTEBRO Jens Luraas, 52, 1
YAMAMOTO Ryota, 49, 1
REHRL Franz-Josef, 46, 1
FRITZ Martin, 43, 1
WEBER Terence, 40, 1
BAUD Matteo, 38, 1
HIRVONEN Eero, 36, 1
ILVES Kristjan, 34, 1
SCHMID Julian, 32, 1
HEROLA Ilkka, 28, 1
REPONEN Perttu, 30, 1
FAISST Manuel, 26, 1
ANDERSEN Espen, 24, 1
RETTENEGGER Thomas, 22, 1
TILLER Simen, 20, 1
HEINIS Marco, 19, 1
THANNHEIMER Wendelin, 18, 1
MALACINSKI Niklas, 17, 1
LANGE Jakob, 16, 1
GREIDERER Lukas, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MAEKIAHO Arttu, 12, 1
KOSTNER Aaron, 11, 1
SKOGLUND Andreas, 10, 1
KIMURA Kodai, 9, 1
VYTRVAL Jan, 8, 1
BUZZI Raffaele, 7, 1
MUELLER Pascal, 6, 1
COSTA Samuel, 5, 1
NIITTYKOSKI Otto, 4, 1
SCHUMANN Stephen, 3, 1
BRECL Gasper, 2, 1
TYRODE Mael, 1, 1
ZHAO Jiawen, 0, 1
VRHOVNIK Vid, 0, 1
KONVALINKA Jiri, 0, 1
BLONDEAU Gael, 0, 1
SOMMERFELDT Tristan, 0, 1
ANDREWS Grant, 0, 1
HOLOPAINEN Valtteri, 0, 1
YAMAMOTO Yuya, 0, 1
WALCHER Paul, 0, 1
BORTOLAS Iacopo, 0, 1
HREBENIUK Vitaliy, 0, 1
PAEAEKKOENEN Jesse, 0, 1
MUTRU Leevi, 0, 1
FLATLA Kasper Moen, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
ILVES Kristjan, 52, 1
OFTEBRO Jens Luraas, 49, 1
FAISST Manuel, 46, 1
GRAABAK Joergen, 43, 1
RYDZEK Johannes, 40, 1
BAUD Matteo, 38, 1
GEIGER Vinzenz, 36, 1
WATABE Akito, 34, 1
WATABE Yoshito, 32, 1
WEBER Terence, 30, 1
YACHI Sora, 28, 1
MACH David, 26, 1
HEROLA Ilkka, 24, 1
TILLER Simen, 22, 1
ANDERSEN Espen, 20, 1
HEINIS Marco, 19, 1
HIRVONEN Eero, 18, 1
FRITZ Martin, 17, 1
RETTENEGGER Thomas, 16, 1
YAMAMOTO Yuya, 15, 1
LOOMIS Benjamin, 14, 1
GERARD Antoine, 13, 1
MALACINSKI Niklas, 12, 1
VYTRVAL Jan, 11, 1
AHTAVA Rasmus, 10, 1
BRECL Gasper, 9, 1
MAZURCHUK Dmytro, 8, 1
COSTA Samuel, 7, 1
VRHOVNIK Vid, 6, 1
MAEKIAHO Arttu, 5, 1
SKOGLUND Andreas, 4, 1
KOSTNER Aaron, 3, 1
THANNHEIMER Wendelin, 2, 1
BORTOLAS Iacopo, 1, 1
KOLB Florian, 0, 1
KARHUMAA Wille, 0, 1
KONVALINKA Jiri, 0, 1
MUELLER Pascal, 0, 1
SCHUMANN Stephen, 0, 1
ANDREWS Grant, 0, 1
HAPPONEN Herman, 0, 1
RIIBER Jarl Magnus, 100, 1
SCHMID Julian, 90, 1
BJOERNSTAD Espen, 80, 1
RETTENEGGER Stefan, 70, 1
YAMAMOTO Ryota, 60, 1
LAMPARTER Johannes, 55, 1
